Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,192,5,Some Random Commen with Id 0
1,0,9,77,7,Some Random Commen with Id 1
2,1,6,32,8,Some Random Commen with Id 2
3,1,6,146,3,Some Random Commen with Id 3
4,1,6,114,2,Some Random Commen with Id 4
5,1,6,135,8,Some Random Commen with Id 5
6,1,6,13,8,Some Random Commen with Id 6
7,1,6,111,1,Some Random Commen with Id 7
8,1,6,22,3,Some Random Commen with Id 8
9,2,1,42,2,Some Random Commen with Id 9
10,2,1,19,1,Some Random Commen with Id 10
11,2,1,12,9,Some Random Commen with Id 11
12,2,1,19,3,Some Random Commen with Id 12
13,2,1,62,7,Some Random Commen with Id 13
14,2,1,73,7,Some Random Commen with Id 14
15,2,1,98,3,Some Random Commen with Id 15
16,3,2,92,5,Some Random Commen with Id 16
17,3,2,49,9,Some Random Commen with Id 17
18,3,2,70,3,Some Random Commen with Id 18
19,3,2,83,4,Some Random Commen with Id 19
20,4,5,74,3,Some Random Commen with Id 20
21,4,5,49,1,Some Random Commen with Id 21
22,4,5,99,4,Some Random Commen with Id 22
23,4,5,165,2,Some Random Commen with Id 23
24,4,5,6,7,Some Random Commen with Id 24
25,4,5,182,1,Some Random Commen with Id 25
26,4,5,2,6,Some Random Commen with Id 26
27,4,5,30,4,Some Random Commen with Id 27
28,5,0,161,0,Some Random Commen with Id 28
29,5,0,176,1,Some Random Commen with Id 29
30,5,0,164,4,Some Random Commen with Id 30
31,5,0,4,3,Some Random Commen with Id 31
32,5,0,33,7,Some Random Commen with Id 32
33,5,0,186,2,Some Random Commen with Id 33
34,5,0,130,9,Some Random Commen with Id 34
35,6,1,56,9,Some Random Commen with Id 35
36,6,1,124,8,Some Random Commen with Id 36
37,7,1,23,8,Some Random Commen with Id 37
38,7,1,151,4,Some Random Commen with Id 38
39,7,1,157,0,Some Random Commen with Id 39
40,7,1,178,9,Some Random Commen with Id 40
41,7,1,46,2,Some Random Commen with Id 41
42,7,1,117,6,Some Random Commen with Id 42
43,7,1,0,9,Some Random Commen with Id 43
44,7,1,133,4,Some Random Commen with Id 44
45,8,6,79,9,Some Random Commen with Id 45
46,9,1,131,9,Some Random Commen with Id 46
47,9,1,191,4,Some Random Commen with Id 47
